"","lon","lat","id"
"199",-66.25,6.75,"World"
"200",-67.25,7.75,"World"
"201",-65.25,9.75,"World"
"202",-63.25,9.25,"World"
"203",-71.25,8.25,"World"
"204",-71.75,8.25,"World"
"205",-65.75,7.25,"World"
"206",-65.25,5.25,"World"
"207",-69.75,8.25,"World"
"208",-72.75,9.25,"World"
"209",-65.75,7.75,"World"
"210",-63.75,6.75,"World"
"211",-70.25,9.25,"World"
"212",-67.75,7.75,"World"
"213",-64.25,6.75,"World"
"214",-64.75,7.25,"World"
"215",-66.75,8.25,"World"
"216",-69.75,8.75,"World"
"217",-64.25,8.25,"World"
"218",-62.75,6.25,"World"
"219",-70.75,8.75,"World"
"220",-67.75,6.75,"World"
"221",-63.25,8.25,"World"
"222",-68.25,7.25,"World"
"223",-68.75,9.25,"World"
"224",-65.75,6.75,"World"
"225",-69.75,9.25,"World"
"226",-66.25,9.75,"World"
"227",-64.25,7.75,"World"
"228",-65.25,4.75,"World"
"229",-60.25,8.25,"World"
"230",-64.25,8.75,"World"
"231",-65.75,4.75,"World"
"232",-66.75,4.75,"World"
"233",-68.25,7.75,"World"
"234",-69.25,7.75,"World"
"235",-68.25,8.75,"World"
"236",-72.25,9.25,"World"
"237",-61.75,6.75,"World"
"238",-66.75,7.25,"World"
"239",-63.75,9.25,"World"
"240",-69.75,7.75,"World"
"241",-63.25,7.75,"World"
"242",-63.75,5.25,"World"
"243",-66.75,5.25,"World"
"244",-66.25,5.25,"World"
"245",-63.25,5.25,"World"
"246",-63.25,7.25,"World"
"247",-61.25,7.25,"World"
"248",-66.75,9.75,"World"
"249",-70.25,10.75,"World"
"250",-70.75,10.75,"World"
"251",-61.25,9.25,"World"
"252",-62.25,8.75,"World"
"253",-61.75,8.75,"World"
"254",-64.75,8.75,"World"
"255",-67.25,8.75,"World"
"256",-68.75,8.75,"World"
"257",-61.75,5.75,"World"
"258",-70.25,8.75,"World"
"259",-64.75,3.25,"World"
"260",-66.25,3.25,"World"
"261",-69.75,6.75,"World"
"262",-61.25,5.75,"World"
"263",-65.25,8.75,"World"
"264",-73.25,9.25,"World"
"265",-69.75,7.25,"World"
"266",-63.25,8.75,"World"
"267",-67.25,4.25,"World"
"268",-65.25,7.75,"World"
"269",-62.75,8.75,"World"
"270",-65.25,3.75,"World"
"271",-65.25,1.25,"World"
"272",-62.75,3.75,"World"
"273",-67.75,4.75,"World"
"274",-61.25,8.75,"World"
"275",-62.75,6.75,"World"
