"","lon","lat","id"
"168",-71.25,7.25,"lowlat"
"169",-66.75,7.75,"lowlat"
"170",-67.25,7.25,"lowlat"
"171",-67.75,8.75,"lowlat"
"172",-66.25,9.25,"lowlat"
"173",-61.75,6.25,"lowlat"
"174",-67.25,9.25,"lowlat"
"175",-64.25,9.25,"lowlat"
"176",-64.75,9.25,"lowlat"
"177",-68.75,7.25,"lowlat"
"178",-60.75,7.25,"lowlat"
"179",-69.25,7.25,"lowlat"
"180",-72.25,8.25,"lowlat"
"181",-69.25,9.75,"lowlat"
"182",-69.25,8.75,"lowlat"
"183",-64.25,9.75,"lowlat"
"184",-65.25,9.25,"lowlat"
"185",-67.75,8.25,"lowlat"
"186",-62.25,6.25,"lowlat"
"187",-68.75,7.75,"lowlat"
"188",-68.25,8.25,"lowlat"
"189",-63.75,8.25,"lowlat"
"190",-66.25,4.75,"lowlat"
"191",-68.75,6.75,"lowlat"
"192",-65.25,8.25,"lowlat"
"193",-63.75,6.25,"lowlat"
"194",-64.75,9.75,"lowlat"
"195",-71.75,7.75,"lowlat"
"196",-64.75,4.75,"lowlat"
"197",-62.75,8.25,"lowlat"
"198",-66.25,7.25,"lowlat"
"199",-66.25,6.75,"lowlat"
"200",-67.25,7.75,"lowlat"
"201",-65.25,9.75,"lowlat"
"202",-63.25,9.25,"lowlat"
"203",-71.25,8.25,"lowlat"
"204",-71.75,8.25,"lowlat"
"205",-65.75,7.25,"lowlat"
"206",-65.25,5.25,"lowlat"
"207",-69.75,8.25,"lowlat"
"208",-72.75,9.25,"lowlat"
"209",-65.75,7.75,"lowlat"
"210",-63.75,6.75,"lowlat"
"211",-70.25,9.25,"lowlat"
"212",-67.75,7.75,"lowlat"
"213",-64.25,6.75,"lowlat"
"214",-64.75,7.25,"lowlat"
"215",-66.75,8.25,"lowlat"
"216",-69.75,8.75,"lowlat"
"217",-64.25,8.25,"lowlat"
"218",-62.75,6.25,"lowlat"
"219",-70.75,8.75,"lowlat"
"220",-67.75,6.75,"lowlat"
"221",-63.25,8.25,"lowlat"
"222",-68.25,7.25,"lowlat"
"223",-68.75,9.25,"lowlat"
"224",-65.75,6.75,"lowlat"
"225",-69.75,9.25,"lowlat"
"226",-66.25,9.75,"lowlat"
"227",-64.25,7.75,"lowlat"
"228",-65.25,4.75,"lowlat"
"229",-60.25,8.25,"lowlat"
"230",-64.25,8.75,"lowlat"
"231",-65.75,4.75,"lowlat"
"232",-66.75,4.75,"lowlat"
"233",-68.25,7.75,"lowlat"
"234",-69.25,7.75,"lowlat"
"235",-68.25,8.75,"lowlat"
"236",-72.25,9.25,"lowlat"
"237",-61.75,6.75,"lowlat"
"238",-66.75,7.25,"lowlat"
"239",-63.75,9.25,"lowlat"
"240",-69.75,7.75,"lowlat"
"241",-63.25,7.75,"lowlat"
"242",-63.75,5.25,"lowlat"
"243",-66.75,5.25,"lowlat"
"244",-66.25,5.25,"lowlat"
"245",-63.25,5.25,"lowlat"
